a,b,c,density,early_density,max_streak,total_primes,first_primes
1,2237,4523,0.4846,0.6933333333333334,12,2423,"[[1, 6761], [2, 9001], [3, 11243], [4, 13487], [5, 15733], [6, 17981], [7, 20231], [8, 22483], [10, 26993], [11, 29251]]"
1,999,61,0.4844,0.7866666666666666,12,2422,"[[1, 1061], [2, 2063], [3, 3067], [4, 4073], [5, 5081], [6, 6091], [7, 7103], [8, 8117], [9, 9133], [10, 10151]]"
1,1001,1061,0.4844,0.7866666666666666,12,2422,"[[1, 2063], [2, 3067], [3, 4073], [4, 5081], [5, 6091], [6, 7103], [7, 8117], [8, 9133], [9, 10151], [10, 11171]]"
3,1671,2689,0.4842,0.72,15,2421,"[[1, 4363], [2, 6043], [4, 9421], [5, 11119], [6, 12823], [7, 14533], [8, 16249], [9, 17971], [10, 19699], [11, 21433]]"
3,1665,1021,0.4842,0.72,15,2421,"[[1, 2689], [2, 4363], [3, 6043], [5, 9421], [6, 11119], [7, 12823], [8, 14533], [9, 16249], [10, 17971], [11, 19699]]"
1,1003,2063,0.4842,0.7866666666666666,12,2421,"[[1, 3067], [2, 4073], [3, 5081], [4, 6091], [5, 7103], [6, 8117], [7, 9133], [8, 10151], [9, 11171], [11, 13217]]"
1,1005,3067,0.484,0.7866666666666666,12,2420,"[[1, 4073], [2, 5081], [3, 6091], [4, 7103], [5, 8117], [6, 9133], [7, 10151], [8, 11171], [10, 13217], [11, 14243]]"
1,1007,4073,0.4838,0.7866666666666666,12,2419,"[[1, 5081], [2, 6091], [3, 7103], [4, 8117], [5, 9133], [6, 10151], [7, 11171], [9, 13217], [10, 14243], [11, 15271]]"
5,2375,163,0.4834,0.7733333333333333,13,2417,"[[1, 2543], [2, 4933], [3, 7333], [4, 9743], [5, 12163], [6, 14593], [7, 17033], [8, 19483], [9, 21943], [10, 24413]]"
5,2395,4933,0.4832,0.7733333333333333,13,2416,"[[1, 7333], [2, 9743], [3, 12163], [4, 14593], [5, 17033], [6, 19483], [7, 21943], [8, 24413], [9, 26893], [10, 29383]]"
2,1904,1093,0.4832,0.76,13,2416,"[[1, 2999], [2, 4909], [3, 6823], [4, 8741], [5, 10663], [6, 12589], [7, 14519], [8, 16453], [10, 20333], [11, 22279]]"
5,2385,2543,0.4832,0.7733333333333333,13,2416,"[[1, 4933], [2, 7333], [3, 9743], [4, 12163], [5, 14593], [6, 17033], [7, 19483], [8, 21943], [9, 24413], [10, 26893]]"
1,921,61,0.4832,0.7733333333333333,13,2416,"[[1, 983], [2, 1907], [3, 2833], [4, 3761], [5, 4691], [6, 5623], [9, 8431], [10, 9371], [11, 10313], [12, 11257]]"
2,1908,2999,0.483,0.76,13,2415,"[[1, 4909], [2, 6823], [3, 8741], [4, 10663], [5, 12589], [6, 14519], [7, 16453], [9, 20333], [10, 22279], [11, 24229]]"
1,923,983,0.483,0.7733333333333333,13,2415,"[[1, 1907], [2, 2833], [3, 3761], [4, 4691], [5, 5623], [8, 8431], [9, 9371], [10, 10313], [11, 11257], [12, 12203]]"
1,925,1907,0.4828,0.7733333333333333,13,2414,"[[1, 2833], [2, 3761], [3, 4691], [4, 5623], [7, 8431], [8, 9371], [9, 10313], [10, 11257], [11, 12203], [12, 13151]]"
2,1912,4909,0.4828,0.7466666666666667,13,2414,"[[1, 6823], [2, 8741], [3, 10663], [4, 12589], [5, 14519], [6, 16453], [8, 20333], [9, 22279], [10, 24229], [11, 26183]]"
1,929,3761,0.4826,0.76,13,2413,"[[1, 4691], [2, 5623], [5, 8431], [6, 9371], [7, 10313], [8, 11257], [9, 12203], [10, 13151], [12, 15053], [13, 16007]]"
